district,rooms,square_meters,price
Śródmieście,4,140,16000
Śródmieście,4,150,17000
Wilanów,3,92,6900
Śródmieście,3,135,5900
Śródmieście,1,37,3100
Ursynów,3,75,5500
Śródmieście,3,120,20000
Mokotów,5,175,13000
Białołęka,2,35,2800
Ursus,3,70.6,4700
Bemowo,2,45,3550
Mokotów,1,32,2750
Śródmieście,2,40,3600
Wola,2,37,3500
Ursynów,1,28.5,2600
Śródmieście,1,47,4600
PragaPołudnie,2,40,3700
Ochota,2,70,5500
Centrum,1,36.55,2200
Śródmieście,1,30,2300
Warszawa,2,36,7500
Mokotów,3,60,4500
Targówek,1,28,2300
Śródmieście,2,37,4000
Mokotów,3,90,7500
Śródmieście,2,65,6000
Ursynów,2,54,3000
Wawer,3,56,3900
Ochota,2,39,3600
Wola,2,46,3500
Śródmieście,4,140,18000
Mokotów,4,140,25000
Mokotów,2,43,3370
Śródmieście,1,30,4100
Wola,2,47,2200
Wola,2,60,4500
Ursynów,3,55,3200
Śródmieście,2,42,4200
Bemowo,3,61,3300
Śródmieście,3,83,8900
PragaPołudnie,3,52.78,3500
PragaPołudnie,2,45,2950
PragaPółnoc,2,50,3900
Mokotów,2,41.8,2900
Bielany,3,55.95,3199
Żoliborz,3,85,13500
Wilanów,3,92,6900
Śródmieście,1,25,2500
Mokotów,3,80,5000
Wola,2,59,6000
